name,count
Banana,495857
Apple,495115
Orange,471402
Tomato,468860
Onion,468681
Lettuce,467037
Egg,466884
Milk,465677
Cheese,465518
Bread,439204
Chees,55602
Br Ad,55320
B R E a D,28662
B Nana,28463
Milque,28171
Mi K,28163
A Pple,28049
Mi K,28049
Tomat,28034
Lettus,27856
Onoin,27854
Ba Nana,27757
Un On,27692
Tom To,27661
Oni N,27583
Bre D,27582
Ch Se,27401
Egggz,27398
Gg,27197
Eggz R,27167
Or Nge,27166
T Mat,26993
Or Ng,26860
Lettu Ce,26857
Range,26843
L Ttuce,26807
Appl E,26800
